city,zipcode,population,per_capita_income,white,african_american,native_american,asian,native_hawaiian_pacific_islander,other_race,two_or_more_races,white_not_hispanic,hispanic_or_latino
Philadelphia,19153,13190.0,25254.0,1944.0,9747.0,24.0,537.0,0.0,135.0,803.0,1589.0,917.0
Philadelphia,19154,34253.0,30854.0,28481.0,2914.0,105.0,1353.0,76.0,794.0,530.0,26708.0,2819.0
Atlanta,30032,49456.0,20807.0,5679.0,41547.0,128.0,354.0,0.0,596.0,1152.0,5283.0,1099.0
Atlanta,30303,6719.0,11599.0,2076.0,4001.0,46.0,310.0,0.0,37.0,249.0,1774.0,493.0
Atlanta,30305,23693.0,94499.0,20176.0,1881.0,9.0,944.0,8.0,162.0,513.0,19179.0,1112.0
Atlanta,30306,24112.0,81647.0,21039.0,1309.0,6.0,789.0,0.0,122.0,847.0,20071.0,1203.0
Atlanta,30307,19652.0,68813.0,15427.0,2494.0,51.0,860.0,0.0,101.0,719.0,15087.0,576.0
Atlanta,30308,18099.0,55216.0,10778.0,5653.0,40.0,936.0,0.0,220.0,472.0,10134.0,964.0
Atlanta,30309,24744.0,85424.0,17503.0,3843.0,98.0,1764.0,12.0,350.0,1174.0,16991.0,1047.0
Atlanta,30310,29658.0,21556.0,2697.0,26112.0,29.0,142.0,0.0,80.0,598.0,2470.0,371.0
Atlanta,30311,36839.0,20623.0,697.0,34975.0,23.0,138.0,0.0,684.0,322.0,443.0,1233.0
Atlanta,30312,22275.0,40164.0,9641.0,11034.0,4.0,732.0,11.0,144.0,709.0,9027.0,979.0
Atlanta,30313,11529.0,16308.0,4513.0,4786.0,76.0,1608.0,11.0,120.0,415.0,4192.0,684.0
Atlanta,30314,24446.0,13397.0,1980.0,21464.0,37.0,500.0,0.0,153.0,312.0,1711.0,557.0
Atlanta,30315,35511.0,20685.0,4856.0,28845.0,141.0,136.0,0.0,1047.0,486.0,4051.0,2321.0
Atlanta,30316,33172.0,37479.0,13664.0,17228.0,154.0,558.0,1.0,377.0,1190.0,12675.0,1518.0
Atlanta,30317,13737.0,40246.0,6316.0,6361.0,13.0,317.0,0.0,87.0,643.0,6161.0,233.0
Atlanta,30318,54152.0,32644.0,20041.0,29080.0,84.0,2865.0,23.0,908.0,1151.0,18282.0,2846.0
Atlanta,30319,41839.0,71316.0,33001.0,3393.0,908.0,2810.0,13.0,730.0,984.0,30221.0,4662.0
Atlanta,30324,26818.0,56434.0,17826.0,4916.0,89.0,2637.0,77.0,156.0,1117.0,15428.0,2812.0
Atlanta,30326,6030.0,80313.0,3975.0,875.0,190.0,603.0,0.0,185.0,202.0,3695.0,674.0
Atlanta,30327,22655.0,107095.0,19555.0,1425.0,6.0,1464.0,5.0,50.0,150.0,19152.0,544.0
Atlanta,30331,64492.0,25820.0,1110.0,62340.0,156.0,131.0,36.0,142.0,577.0,905.0,702.0
Atlanta,30332,3115.0,2465.0,1488.0,652.0,32.0,705.0,0.0,59.0,179.0,1322.0,269.0
Atlanta,30336,234.0,42524.0,33.0,186.0,0.0,7.0,0.0,0.0,8.0,29.0,11.0
Atlanta,30342,30187.0,73035.0,22277.0,3097.0,1386.0,1526.0,0.0,678.0,1223.0,18965.0,6059.0
Atlanta,30344,32706.0,23546.0,6172.0,24332.0,21.0,604.0,5.0,1027.0,545.0,4457.0,2928.0
Atlanta,30354,16398.0,19056.0,3298.0,11580.0,0.0,192.0,0.0,583.0,745.0,2065.0,1449.0
Atlanta,30363,3559.0,48506.0,1554.0,947.0,0.0,970.0,0.0,18.0,70.0,1429.0,189.0
Dallas,75032,32317.0,45471.0,27532.0,2290.0,23.0,1086.0,0.0,468.0,918.0,22197.0,6054.0
