,City,Ethnicity,Total Restaurants
0,Philadelphia,Chinese,414
1,Philadelphia,French,25
2,Philadelphia,Greek,21
3,Philadelphia,Indian,62
4,Philadelphia,Italian,283
5,Philadelphia,Japanese,124
6,Philadelphia,Brazilian,10
7,Philadelphia,Mexican,247
8,Philadelphia,New American,291
9,Philadelphia,Soul Food,63
10,Philadelphia,Thai,62
